"DATA DE RESULTADO DA COMPRA";"DATA DE ABERTURA";"ORGÃO SUPERIOR LICITANTE";"ÓRGÃO / ENTIDADE VINCULADA LICITANTE";"UNIDADE GESTORA";"SITUAÇÃO";"MODALIDADE DA LICITAÇÃO";"INSTRUMENTO LEGAL DE CONTRATAÇÃO";"NÚMERO DA LICITAÇÃO";"OBJETO DA LICITAÇÃO";
"30/11/2021";"10/11/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00049/2021";"Objeto: Pregão Eletrônico -  Aquisição de material de proteção e segurança.";
"11/02/2021";"09/02/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00001/2021";"Objeto: Pregão Eletrônico -  Aquisição de Sementes, Mudas e Plantas e Insumos";
"20/05/2021";"11/05/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00018/2021";"Objeto: Pregão Eletrônico -  Aquisição de gases especiais.";
"02/12/2021";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00013/2021";"Objeto: Contratação de (01) uma palestra a ser proferida pelo professor Leonardo Boff, com o tema: "O cuidado como meta e como prática cotidiana" com duração de 2 horas.";
"01/09/2021";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Inexigibilidade de Licitação";"Contrato";"00009/2021";"Objeto: Contratação de empresa especializada na disponibilização de acesso a um banco de dados.";
"16/04/2021";"13/04/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00004/2021";"Objeto: Pregão Eletrônico -  Aquisição de materiais químicos para piscinas.";
"26/08/2021";"05/08/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Evento de Suspensão Publicado";"Pregão";"Contrato";"00035/2021";"Objeto: Pregão Eletrônico -  Contratação de serviços de reforma de salas de aula, área de convívio e de  diretórios acadêmicos do Instituto de Tecnologia   Campus Seropédica da UFRRJ";
"07/07/2021";"17/06/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Contrato";"00016/2021";"Objeto: Pregão Eletrônico -  Serviço de Locação de Sistema Ininterrupto de Energia (Nobreaks)";
"02/08/2021";"02/08/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Evento de Suspensão Publicado";"Pregão - Registro de Preço";"Sem informação";"00026/2021";"Objeto: Pregão Eletrônico -  Aquisição de galões de água.";
"21/12/2021";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Revogação";"Inexigibilidade de Licitação";"Sem informação";"00016/2021";"Objeto: Aquisição de 150 (cento e cinquenta) unidades de exame de proficiência da língua inglesa TOELF-ITP (Test of English as a Foreign Language - Institutional Testing Program), conforme condições, quantidades e exigências estabelecidas neste instrumento.";
"10/09/2021";"09/09/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00038/2021";"Objeto: Pregão Eletrônico -  Aquisição de máquinas e equipamentos de natureza industrial.";
"13/12/2021";"23/11/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Dispensa de Licitação";"Sem informação";"00008/2021";"Objeto: Garrafão vazio para água mineral,capacidade de 20 litros,material polipropileno.Condições:vasilhames com no mínimo 80%(oitenta por cento)do prazo de validade total,que é de 03 anos,conforme a Portaria nº387,de 19/09/08 do Departamento Nacional de Produção Mineral,a contar da entrega e atesto da Nota Fiscal.Em conformidade com a ABNT NBR 14.222,14.328,14.637,14.638 e Portaria DNPM Nº387/2008,além de demais legislações para que possa ser utilizado como base de troca para aquisição.";
"29/10/2021";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00012/2021";"Objeto: Pagamento de inscrição de 07(sete) servidores em curso de capacitação.";
"08/12/2021";"27/05/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00014/2021";"Objeto: Pregão Eletrônico -  Aquisição de material farmacológico.";
"05/04/2021";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Dispensa de Licitação";"Contrato";"00002/2021";"Objeto: Contratação de empresa especializada em serviços de inspeção e manutenção corretiva de Boiler (aquecedor   vaso de pressão) e inspeção periódica de Caldeira geradora de vapor instalados na casa de máquinas do Restaurante Universitário do Campus de Seropédica (grupo 39.17).";
"21/09/2021";"04/08/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Dispensa de Licitação";"Contrato";"00006/2021";"Objeto: Aquisição de impresso personalizado no formato de tíquetes de alimentação.";
"05/07/2021";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00006/2021";"Objeto: Pagamento de inscrição de 19(dezenove) servidores em curso de capacitação.";
"21/10/2021";"30/09/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00042/2021";"Objeto: Pregão Eletrônico -  Aquisição de material químico sujeito a controle governamental.";
"17/12/2021";"23/11/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão";"Contrato";"00057/2021";"Objeto: Pregão Eletrônico -  Contratação de empresa para a prestação de serviços de manutenção predial nas edificações e áreas urbanizadas dos Campi Nova Iguaçu, Três Rios, Campos dos Goytacazes e Seropédica da UFRRJ.";
"19/08/2021";"07/07/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00009/2021";"Objeto: Pregão Eletrônico -  Aquisição de materiais e medicamentos de uso veterinário.";
"23/07/2021";"22/06/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00022/2021";"Objeto: Pregão Eletrônico -  Aquisição de ração peletizada.";
"18/06/2021";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00005/2021";"Objeto: Pagamento de inscrição de 07(sete) servidores em curso de capacitação.";
"15/12/2021";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00015/2021";"Objeto: Pagamento de inscrição de 01 servidora em curso de capacitação.";
"29/09/2021";"13/09/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00041/2021";"Objeto: Pregão Eletrônico -  Aquisição de combustíveis e lubrificantes.";
"09/11/2021";"29/10/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00040/2021";"Objeto: Pregão Eletrônico -  Aquisição de material de limpeza e produtos de higienização.";
"27/05/2021";"27/05/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00020/2021";"Objeto: Pregão Eletrônico -  Contratação de empresa especializada no fornecimento de Gás Liquefeito de Petróleo   GLP.";
"09/11/2021";"16/09/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Evento de Suspensão Publicado";"Pregão - Registro de Preço";"Sem informação";"00031/2021";"Objeto: Pregão Eletrônico -  Aquisição de material de laboratório.";
"22/12/2021";"30/11/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Dispensa de Licitação";"Sem informação";"00010/2021";"Objeto: Etiqueta protetora eletromagnética, tipo desativável e reativável, modelo invisível, aplicação na proteção de periódicos e livros, com características adicionais de possuir cola em ambas as faces, medida de 6,5  e aplicação manual; referente a sistemas de alarme, sinalização e detecção para segurança. Compatível ou equivalente com o sistema de segurança antifurto DSP de tecnologia eletromagnética modelo Angel / RFID Brasil.  de tecnologia eletromagnética modelo Angel / RFI";
"02/07/2021";"13/05/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00008/2021";"Objeto: Pregão Eletrônico -  Aquisição de carnes e frios.";
"28/04/2021";"26/04/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Evento de Adiamento Publicado";"Pregão - Registro de Preço";"Sem informação";"00006/2021";"Objeto: Pregão Eletrônico -  Aquisição de pães e bolos.";
"28/12/2021";"04/11/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00046/2021";"Objeto: Pregão Eletrônico -  Aquisição de material hidráulico.";
"04/08/2021";"18/06/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00023/2021";"Objeto: Pregão Eletrônico -  Aquisição de insumos, EPIs e produtos sanitários destinados à prevenção do contágio da COVID-19.";
"22/12/2021";"17/12/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão";"Contrato";"00059/2021";"Objeto: Pregão Eletrônico -  Contratação de empresa do ramo de engenharia/arquitetura para a execução de Reforma das capelas e das instalações de gás e elétricas nos laboratórios às salas 10, 22, 25, 38, 41 e 63 no Pavilhão de Química   Instituto de Química   campus Seropédica da UFRRJ.";
"15/10/2021";"24/09/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00039/2021";"Objeto: Pregão Eletrônico -  Aquisição de ferramentas.";
"19/11/2021";"22/09/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00045/2021";"Objeto: Pregão Eletrônico -  Aquisição de material químico.";
"10/09/2021";"03/08/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00030/2021";"Objeto: Pregão Eletrônico -  Aquisição de máquinas e utensílios diversos.";
"21/09/2021";"08/09/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00032/2021";"Objeto: Pregão Eletrônico -  Aquisição de material hospitalar.";
"16/06/2021";"14/05/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00010/2021";"Objeto: Pregão Eletrônico -  Aquisição de Gêneros alimentícios (Estocáveis).";
"22/02/2021";"04/02/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Dispensa de Licitação";"Sem informação";"00001/2021";"Objeto: Aquisição de placas em aço escovado inox para inauguração de prédios da UFRRJ e placa de homenagem póstuma.";
"03/08/2021";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Inexigibilidade de Licitação";"Contrato";"00007/2021";"Objeto: Contratação da Empresa Brasileira de Correios e Telégrafos - ECT para prestação de serviços de Carta comercial,  Malotes, Telegrama e caixa postal.";
"14/10/2021";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00011/2021";"Objeto: Pagamento de inscrição de 02(dois) servidores em curso de capacitação.";
"29/12/2021";"13/12/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Dispensa de Licitação";"Sem informação";"00011/2021";"Objeto: Aquisição de materiais e medicamentos para uso veterinário (Grupo 30.18).";
"27/01/2021";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00002/2021";"Objeto: Pagamento de inscrição de 05(cinco) servidores em curso de capacitação.";
"15/12/2021";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Contrato";"00014/2021";"Objeto: Contratação direta, por inexigibilidade de licitação, de empresa para prestação de serviço acessório de manutenção e suporte técnico do sistema integrado de bibliotecas Pergamum, por 12 (doze) meses, prorrogável por até 48 (quarenta e oito) meses, a critério único e exclusivo da UFRRJ e mantidas as condições de inexigibilidade de licitação.";
"24/11/2021";"17/11/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão";"Contrato";"00054/2021";"Objeto: Pregão Eletrônico -  Contratação de empresa especializada para prestação de serviços de reforma da parte elétrica dos alojamentos M1 e  M2 e construção das subestações SE4 e SE1 no Campus Seropédica da UFRRJ.";
"22/01/2021";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00001/2021";"Objeto: Aquisição de Software   Licenciamento Perpétuo - Software Empower 2 System Control.";
"22/11/2021";"08/11/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Dispensa de Licitação";"Sem informação";"00007/2021";"Objeto: Serviço de inspeção em vaso de pressão, volume 4.000/ Pressão de trabalho: 4.0 KGF/CM2/Fluído: Água/ Totalmente Inox-Boiler, instalado no Restaurante Universitário, Campus Seropédica. Conforme condições estabelecidas no Termo de Referência.";
"23/03/2021";"15/03/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Evento de Suspensão Publicado";"Pregão";"Contrato";"00002/2021";"Objeto: Pregão Eletrônico -  Contratação de empresa especializada na prestação de serviços de coleta, transporte externo, tratamento  e destinação final adequada de resíduos de serviços de saúde.";
"13/12/2021";"09/12/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00051/2021";"Objeto: Pregão Eletrônico -  Aquisição de materiais de copa e cozinha.";
"14/06/2021";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Dispensa de Licitação";"Contrato";"00003/2021";"Objeto: Contratação de empresa especializada na prestação de serviços de manutenção predial, com dedicação exclusiva de  mão de obra, com fornecimento de uniformes e o emprego de todos os equipamentos, insumos, ferramentas e EPI necessários à execução do serviços, para atender ao Campus de Seropédica da UFRRJ.";
"12/03/2021";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00003/2021";"Objeto: Pagamento de inscrição de 03(três) servidores em curso de capacitação.";
"05/05/2021";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00004/2021";"Objeto: Pagamento de inscrição de 05(cinco) servidoras em curso de capacitação.";
"23/07/2021";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Dispensa de Licitação";"Sem informação";"00004/2021";"Objeto: Contratação de empresa de Serviços de Fornecimento e uso do Sistema de Distribuição de Energia Elétrica para as dependências da nova Sede da Coordenação de Atenção à Saúde e Segurança do Trabalho-CASST. Pelo período de 12 meses.";
"08/12/2021";"06/07/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00025/2021";"Objeto: Pregão Eletrônico -  Aquisição de  hortifrúti.";
"06/08/2021";"18/05/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00013/2021";"Objeto: Pregão Eletrônico -  Aquisição de máquinas e equipamentos agrícola.";
"25/08/2021";"29/07/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Dispensa de Licitação";"Sem informação";"00005/2021";"Objeto: Aquisição de materiais químicos controlados (Grupo 30.11A).";
"23/11/2021";"26/10/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão";"Contrato";"00052/2021";"Objeto: Pregão Eletrônico -  Contratação de empresa especializada na prestação de serviços continuados de apoio administrativo e apoio operacional para atender a UFRRJ.";
"07/10/2021";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00010/2021";"Objeto: Pagamento de inscrição de 06(seis) servidores em curso de capacitação.";
"26/11/2021";"09/11/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00048/2021";"Objeto: Pregão Eletrônico -  Aquisição de animais para pesquisa e abate.";
"21/06/2021";"25/05/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão";"Contrato";"00021/2021";"Objeto: Pregão Eletrônico -  Contratação de empresa especializada na prestação de serviços continuados de limpeza, conservação e higienização da UFRRJ.";
"07/06/2021";"07/06/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00012/2021";"Objeto: Pregão Eletrônico -  Aquisição de Botijão de Gás Liquefeito de Petróleo - GPL.";
"09/03/2021";"23/07/2020";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Empenho";"00029/2020";"Objeto: Pregão Eletrônico -  Aquisição de material de proteção e segurança.";
